"FK Name","Parent table","Parent field","Parent column_id","Referenced table","Referenced field","Referenced column_id","term_category"
"FK_ArchiveStructure_To_Archive","ArchiveStructure","CatalogItemId","1","CatalogItemArchive","CatalogItemId","1",
"FK_ArchiveStructure_LanguageId_To_DictionaryItem","ArchiveStructure","LanguageId","11","DictionaryItem","Id","1","language"
"FK_ArtistInstrument_ArtistId_To_Person","ArtistInstrument","ArtistId","2","Person","Id","1","name"
"FK_ArtistInstrument_InstrumentId_To_DictionaryItem","ArtistInstrument","InstrumentId","3","DictionaryItem","Id","1",
"FK_ArtistInstrument_MusicTrackId_To_MusicTrack","ArtistInstrument","MusicTrackId","4","MusicTrack","Id","1",
"FK_Attachment_FileObject","Attachment","FileObjectId","2","FileObject","Id","1",
"FK_Attachment_UserAddedId","Attachment","UserAddedId","4","User","UserId","1","name"
"FK_AuditTrailRecord_Author_To_User","AuditTrailRecord","AuthorId","7","User","UserId","1","name"
"FK_AvailableColumn_To_ColumnMetadataId","AvailableColumn","ColumnMetadataId","4","ColumnMetadata","Id","1",
"FK_AvailableCustomColumn_To_FieldMetadata","AvailableCustomColumn","FieldMetadataId","4","FieldMetadata","Id","1",
"FK_AvailableCustomFilter_To_FieldMetadataId","AvailableCustomFilter","FieldMetadataId","4","FieldMetadata","Id","1",
"FK_AvailableFilter_To_FilterMetadataId","AvailableFilter","FilterMetadataId","4","FilterMetadata","Id","1",
"FK_Campaign_ManagerId_To_DictionaryItem","Campaign","ManagerId","9","DictionaryItem","Id","1","name"
"FK_Campaign_FundId_To_Fund","Campaign","FundId","10","Fund","Id","1",
"FK_CampaignActivity_Campaign","CampaignActivity","CampaignId","2","Campaign","Id","1",
"FK_CampaignAttachment_To_Campaign","CampaignAttachment","CampaignId","2","Campaign","Id","1",
"FK_CampaignAttachment_To_Attachment","CampaignAttachment","AttachmentId","3","Attachment","Id","1",
"FK_CampaignUrl_To_Campaign","CampaignUrl","CampaignId","2","Campaign","Id","1",
"FK_CampaignUrl_To_Url","CampaignUrl","UrlId","3","Url","Id","1",
"FK_CatalogItem_DisposalMethodId_To_DictionaryItem","CatalogItem","DisposalMethodId","17","DictionaryItem","Id","1",
"FK_CatalogItem_StatusByUserId_To_User","CatalogItem","StatusByUserId","20","User","UserId","1","name"
"FK_CatalogItemStatusId_DictionaryItem","CatalogItem","StatusId","22","DictionaryItem","Id","1",
"FK_CatalogItemCollectionId_DictionaryItem","CatalogItem","CollectionId","23","DictionaryItem","Id","1","collection"
"FK_CatalogItem_AccessionId_To_Accession","CatalogItem","AccessionId","24","Accession","Id","1",
"FK_CatalogItem_ItemNameId_To_LexiconItem","CatalogItem","ItemNameId","26","LexiconItem","Id","1",
"FK_CatalogItem_OtherNameId_To_DictionaryItem","CatalogItem","OtherNameId","30","DictionaryItem","Id","1",
"FK_CatalogItem_DeaccessionAuthorizedByUserId_To_Dictionary","CatalogItem","DeaccessionAuthorizedByUserId","32","DictionaryItem","Id","1","name"
"FK_CatalogItem_CreatedByUserId_To_User_UserId","CatalogItem","CreatedByUserId","36","User","UserId","1","name"
"FK_CatalogItem_LastModifiedByUserId_To_User_UserId","CatalogItem","LastModifiedByUserId","38","User","UserId","1","name"
"FK_CatalogItem_CatalogedById_To_DictionaryItem","CatalogItem","CatalogedById","39","DictionaryItem","Id","1","name"
"FK_CatalogItem_FlagId","CatalogItem","FlagId","44","Flag","Id","1",
"FK_CatalogItemAppraisal_CatalogItemId_To_CatalogItem","CatalogItemAppraisal","CatalogItemId","1","CatalogItem","Id","1",
"FK_CatalogItemArchaeology_CatalogItemId_To_CatalogItem","CatalogItemArchaeology","CatalogItemId","1","CatalogItem","Id","1",
"FK_CatalogItemArchaeology_DatingMethodId_To_DictionaryItem","CatalogItemArchaeology","DatingMethodId","15","DictionaryItem","Id","1",
"FK_CatalogItemArchaeology_To_Site","CatalogItemArchaeology","SiteId","16","Site","Id","1","place"
"FK_CatalogItemArchaeology_CollectorId_To_DictionaryItem","CatalogItemArchaeology","CollectorId","17","DictionaryItem","Id","1","name"
"FK_CatalogItemArchaeology_ExcavatedById_To_DictionaryItem","CatalogItemArchaeology","ExcavatedById","18","DictionaryItem","Id","1","name"
"FK_CatalogItemArchaeology_IdentifiedById_To_DictionaryItem","CatalogItemArchaeology","IdentifiedById","19","DictionaryItem","Id","1","name"
"FK_CatalogItemArchaeologyMaterial_CatalogItemId_To_CatalogItemArt","CatalogItemArchaeologyMaterial","CatalogItemId","1","CatalogItemArchaeology","CatalogItemId","1",
"FK_CatalogItemArchaeologyMaterial_DictionaryItemId","CatalogItemArchaeologyMaterial","DictionaryItemId","2","DictionaryItem","Id","1",
